dataset,date,latitude,longitude,deaths_min,deaths_max,children,names,description,source
dronestream,2009-07-07T00:00:00.000Z,32.6278098905,69.8428344727,16,18,0,,"16-18 alleged militants killed in strike on compound in Jangara, Makeen, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-07-08T00:00:00.000Z,32.5256841478,69.8503875732,8,10,0,,"8-10 alleged TTP militants killed in strike on camp in Laddha, Karwan Manza South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-07-08T00:00:00.000Z,32.5256841478,69.8503875732,35,40,0,,"35-40 alleged militants killed when convoy destroyed in  Laddha, Karwan Manza, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-07-10T00:00:00.000Z,32.3158617219,69.6210479736,3,5,0,,"3-5 alleged militants killed in strike on â€˜communications centreâ€™ in Painda, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-07-10T00:00:00.000Z,32.3158617219,69.6210479736,0,5,0,,Two media sources reported a possible drone strike that killed five â€“ this may be part of Ob28.,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-07-17T00:00:00.000Z,32.700355411,70.0608444214,5,6,0,,"5-6 alleged TTP militants killed in strike on house in Gariwam, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-08-05T00:00:00.000Z,32.5256841478,69.8503875732,2,12,0,,"Named TTP leader dies with at least one other, in strike on Zanghara, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-08-11T00:00:00.000Z,32.5256841478,69.8503875732,14,25,0,,"14-25 killed in strike on â€˜Taliban suicide bomber training campâ€™ in  Saam, near Ladha, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-08-21T00:00:00.000Z,33.0201789992,70.0728607178,17,21,0,,"At least 9 civilians including 6 children among 17-21 killed in strike on houses and madrassa in Danda Darpakhel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-08-27T00:00:00.000Z,32.5413143166,69.8527908325,8,10,0,,"Named militant leader killed with at least seven others in strike on house in Tapar Ghai, Kanigram, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-09-07T00:00:00.000Z,32.9962826501,70.308380127,5,8,0,,Three civilians among 5-8 killed in a failed strike on senior al Qaeda leader Ilyas Kashmiri.,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-09-08T00:00:00.000Z,33.0469467336,70.0203323364,10,15,0,,"10-15 killed including three civilians in strike on house in Dargmandi, Miranshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-09-14T00:00:00.000Z,32.9867798934,70.2608299255,5,5,0,,Five killed including including Islamic Jihad Union leader Najmiddin Kamolitdinovic Jalolov in a strike on a vehicle.,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-09-24T00:00:00.000Z,32.9582654853,70.2410888672,10,12,0,,"Strike kills 10-12, possibly including civilians, in Mir Ali, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-09-29T00:00:00.000Z,32.4889135885,70.002822876,5,6,0,,"5-6 alleged militants killed in strike on house in Sararogha, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-09-29T00:00:00.000Z,33.0201789992,70.0728607178,4,9,0,,"At least four alleged Haqqani militants killed in strike on house in Danda Darpakhel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-09-30T00:00:00.000Z,32.9887957151,70.3260612488,8,9,0,,"8-9 alleged militants killed in strike on cars and house in Norak, Miransha, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-10-15T00:00:00.000Z,33.0201789992,70.0728607178,3,4,0,,"3-4 alleged militants killed in strike on house in Danda Darpakhel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-10-21T00:00:00.000Z,32.868630069,70.1411819458,3,3,0,,"Al Qaeda explosives expert Abu Musa al-Masri and 2 others killed in strike in Spalaga, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-10-24T00:00:00.000Z,34.8154945317,71.496963501,20,27,0,,"20-27 alleged militants killed in strike on compound in Damadola, Bajaur Agency.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-11-05T00:00:00.000Z,32.9887957151,70.3260612488,4,6,0,,"4-6 alleged militants killed in strike on house in Norak, Mir Ali, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-11-18T00:00:00.000Z,33.0112546142,69.8316764832,3,6,0,,"3-6 alleged militants killed in strike on house in Shanakhora, Miranshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-11-20T00:00:00.000Z,32.9962826501,70.308380127,3,10,0,,"Three civilians, including one child, killed in a strike on a â€˜training compoundâ€™ in Machi Khel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-12-08T00:00:00.000Z,32.868630069,70.1411819458,4,4,0,,"Al Qaeda planner Said al-Somali among four killed in strike on car in Miran Shah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-12-10T00:00:00.000Z,32.5256841478,69.8503875732,6,6,0,,"Six alleged militants killed in strike on â€˜hide-outâ€™ in Laddha, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-12-17T00:00:00.000Z,33.151242,70.434707,2,2,0,,"2 alleged militants killed in car in Gadda Maramay, Datta Khel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-12-17T00:00:00.000Z,33.0014655406,69.5283508301,12,16,0,,"2 named al Qaeda commanders among 13-15 alleged militants killed in Amboor Shagal, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-12-18T00:00:00.000Z,32.9821721279,69.7388076782,5,8,0,,"5-8 killed at funeral prayers for victims of Ob49, Wazgai, Datta Khel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-12-26T00:00:00.000Z,33.0949931078,70.0591278076,14,20,0,,"14 Taliban killed and 12 injured in strike on house in Saigdai, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-12-31T00:00:00.000Z,32.9962826501,70.308380127,3,7,0,,"Three civilians, including one child, among up to seven killed in a strike on a Taliban commander.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2010-01-01T00:00:00.000Z,32.9929711995,70.2120780945,3,3,0,,"3 alleged militants killed when car destroyed in Ghundikala, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/
dronestream,2010-01-03T00:00:00.000Z,32.9998819119,70.3408241272,5,5,0,,"Five killed including 1-2 civilians, in attack on house and car in Mosaki, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/
